job_id,resume_id,job_text,resume_text,skills_text,education_text,experience_text,certifications_text,gender,race,label_relevant,full_similarity,skills_similarity,education_similarity,experience_similarity,certifications_similarity,baseline_rank,selected_top_k
JOB001,R0166,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","robert adeyemi email: r0166@email.com skills tensorflow, terraform, scikit-learn, statistics, machine learning, sql, computer vision, postgresql, python, data visualisation education bsc software engineering, de montfort university (2013) work experience qa engineer at techcorp ltd (2015-2018): applied python and scikit-learn to deliver projects. | full stack developer at globaltech systems (2016-2017): applied tensorflow and sql to deliver projects. | machine learning engineer at innovatesoft (2016-2019): applied scikit-learn and machine learning to deliver projects. certifications tableau desktop specialist, certified kubernetes administrator","tensorflow, terraform, scikit-learn, statistics, machine learning, sql, computer vision, postgresql, python, data visualisation","bsc software engineering, de montfort university (2013)",qa engineer at techcorp ltd (2015-2018): applied python and scikit-learn to deliver projects. | full stack developer at globaltech systems (2016-2017): applied tensorflow and sql to deliver projects. | machine learning engineer at innovatesoft (2016-2019): applied scikit-learn and machine learning to deliver projects.,"tableau desktop specialist, certified kubernetes administrator",Male,White,1,0.7429843,0.5773597,0.4098903,0.63371575,0.3647836,1.0,1
JOB001,R1661,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","jordan kim email: r1661@email.com skills tensorflow, java, computer vision, a/b testing, machine learning, fastapi, sql, feature engineering, scikit-learn education bsc cybersecurity, university of leeds (2012) work experience data analyst at cloudbase ltd (2021-2023): applied fastapi and scikit-learn to deliver projects. certifications aws machine learning specialty, google cloud professional, tensorflow developer certificate","tensorflow, java, computer vision, a/b testing, machine learning, fastapi, sql, feature engineering, scikit-learn","bsc cybersecurity, university of leeds (2012)",data analyst at cloudbase ltd (2021-2023): applied fastapi and scikit-learn to deliver projects.,"aws machine learning specialty, google cloud professional, tensorflow developer certificate",Non-binary,White,1,0.73829174,0.5804333,0.37570083,0.55081606,0.6127564,2.0,1
JOB001,R1496,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","lisa kim email: r1496@email.com skills machine learning, docker, scikit-learn, java, tensorflow, statistics, kafka, redis, python education bsc cybersecurity, london metropolitan university (2019) work experience junior developer at datasolutions uk (2022-2024): applied python and statistics to deliver projects. | backend developer at alphatech (2020-2021): applied machine learning and statistics to deliver projects. certifications google professional data engineer, agile scrum master, pmp project management","machine learning, docker, scikit-learn, java, tensorflow, statistics, kafka, redis, python","bsc cybersecurity, london metropolitan university (2019)",junior developer at datasolutions uk (2022-2024): applied python and statistics to deliver projects. | backend developer at alphatech (2020-2021): applied machine learning and statistics to deliver projects.,"google professional data engineer, agile scrum master, pmp project management",Female,White,1,0.7333455,0.50304055,0.3480668,0.6059927,0.46879894,3.0,1
JOB001,R0128,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","jennifer perez email: r0128@email.com skills sql, statistics, data visualisation, tensorflow, agile, pandas, machine learning education bsc software engineering, university of leeds (2022) work experience systems analyst at innovatesoft (2022-2025): applied pandas and tensorflow to deliver projects. | data engineer at nexgen analytics (2017-2018): applied data visualisation and sql to deliver projects. | qa engineer at starline systems (2017-2019): applied machine learning and pandas to deliver projects. certifications none","sql, statistics, data visualisation, tensorflow, agile, pandas, machine learning","bsc software engineering, university of leeds (2022)",systems analyst at innovatesoft (2022-2025): applied pandas and tensorflow to deliver projects. | data engineer at nexgen analytics (2017-2018): applied data visualisation and sql to deliver projects. | qa engineer at starline systems (2017-2019): applied machine learning and pandas to deliver projects.,,Female,White,1,0.72883314,0.6037961,0.40741432,0.63095653,0.0749067,4.0,1
JOB001,R0859,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","elijah johnson email: r0859@email.com skills git, data visualisation, django, tensorflow, feature engineering, kafka, python, scikit-learn, machine learning, sql, statistics, airflow education beng information technology, coventry university (2020) work experience qa engineer at quantum analytics (2016-2017): applied statistics and statistics to deliver projects. | software engineer at starline systems (2020-2023): applied scikit-learn and git to deliver projects. certifications aws machine learning specialty","git, data visualisation, django, tensorflow, feature engineering, kafka, python, scikit-learn, machine learning, sql, statistics, airflow","beng information technology, coventry university (2020)",qa engineer at quantum analytics (2016-2017): applied statistics and statistics to deliver projects. | software engineer at starline systems (2020-2023): applied scikit-learn and git to deliver projects.,aws machine learning specialty,Male,White,1,0.7048943,0.5645633,0.2696491,0.4766714,0.5588065,5.0,1
JOB001,R0750,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","matthew nguyen email: r0750@email.com skills data visualisation, python, rest apis, sql, tensorflow, power bi, machine learning, scikit-learn, statistics education beng information technology, university of birmingham (2022) work experience junior developer at betaworks (2018-2021): applied data visualisation and python to deliver projects. | machine learning engineer at nexgen analytics (2015-2018): applied scikit-learn and tensorflow to deliver projects. certifications tableau desktop specialist","data visualisation, python, rest apis, sql, tensorflow, power bi, machine learning, scikit-learn, statistics","beng information technology, university of birmingham (2022)",junior developer at betaworks (2018-2021): applied data visualisation and python to deliver projects. | machine learning engineer at nexgen analytics (2015-2018): applied scikit-learn and tensorflow to deliver projects.,tableau desktop specialist,Male,White,1,0.7034484,0.58615446,0.33784503,0.60800433,0.32710892,6.0,1
JOB001,R1435,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","jessica diallo email: r1435@email.com skills sql, statistics, scikit-learn, tensorflow, redshift, data visualisation, machine learning, python, hadoop education beng information technology, university of bristol (2016) work experience data analyst at datasolutions uk (2022-2025): applied redshift and python to deliver projects. | systems analyst at techcorp ltd (2020-2021): applied statistics and scikit-learn to deliver projects. certifications none","sql, statistics, scikit-learn, tensorflow, redshift, data visualisation, machine learning, python, hadoop","beng information technology, university of bristol (2016)",data analyst at datasolutions uk (2022-2025): applied redshift and python to deliver projects. | systems analyst at techcorp ltd (2020-2021): applied statistics and scikit-learn to deliver projects.,,Female,White,1,0.7034402,0.5881945,0.3441074,0.5635493,0.07490675,7.0,1
JOB001,R0171,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","aisha rodriguez email: r0171@email.com skills ci/cd, data visualisation, ansible, machine learning, feature engineering, pandas, git, node.js education bsc statistics, london metropolitan university (2014) work experience devops engineer at alphatech (2018-2019): applied feature engineering and feature engineering to deliver projects. | junior developer at starline systems (2020-2023): applied machine learning and machine learning to deliver projects. certifications none","ci/cd, data visualisation, ansible, machine learning, feature engineering, pandas, git, node.js","bsc statistics, london metropolitan university (2014)",devops engineer at alphatech (2018-2019): applied feature engineering and feature engineering to deliver projects. | junior developer at starline systems (2020-2023): applied machine learning and machine learning to deliver projects.,,Female,White,0,0.702509,0.52986705,0.2920082,0.5648272,0.07490675,8.0,1
JOB001,R0324,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","ava brown email: r0324@email.com skills python, feature engineering, machine learning, tensorflow, hadoop, git, scikit-learn, sql, data visualisation, statistics education bsc software engineering, university of leeds (2013) work experience devops engineer at prismdata ltd (2016-2018): applied python and scikit-learn to deliver projects. certifications databricks certified associate, tensorflow developer certificate, microsoft azure fundamentals","python, feature engineering, machine learning, tensorflow, hadoop, git, scikit-learn, sql, data visualisation, statistics","bsc software engineering, university of leeds (2013)",devops engineer at prismdata ltd (2016-2018): applied python and scikit-learn to deliver projects.,"databricks certified associate, tensorflow developer certificate, microsoft azure fundamentals",Female,White,1,0.69995046,0.6122421,0.37274334,0.501898,0.5359361,9.0,1
JOB001,R0655,"job title: data scientist company: techcorp ltd about the role: we are seeking a skilled data scientist to join our analytics team. you will work on cutting-edge machine learning projects to drive business decisions through data. responsibilities: - build and deploy machine learning models - perform statistical analysis on large datasets - collaborate with engineering and product teams - communicate findings to non-technical stakeholders requirements: skills - proficiency in python and sql - strong knowledge of machine learning algorithms - experience with scikit-learn, tensorflow or pytorch - data visualisation skills (matplotlib, seaborn, tableau) - strong statistics and mathematics background education - bsc or msc in computer science, data science, statistics or related field experience - 2+ years in a data science or analytics role - experience with end-to-end model development and deployment certifications - tensorflow developer certificate or equivalent is a plus","lisa garcia email: r0655@email.com skills computer vision, sql, python, node.js, system design, scikit-learn, machine learning education bsc data science, university of birmingham (2023) work experience software engineer at alphatech (2018-2019): applied machine learning and sql to deliver projects. | data analyst at prismdata ltd (2015-2017): applied system design and machine learning to deliver projects. certifications aws certified developer, microsoft azure fundamentals","computer vision, sql, python, node.js, system design, scikit-learn, machine learning","bsc data science, university of birmingham (2023)",software engineer at alphatech (2018-2019): applied machine learning and sql to deliver projects. | data analyst at prismdata ltd (2015-2017): applied system design and machine learning to deliver projects.,"aws certified developer, microsoft azure fundamentals",Female,White,1,0.6999048,0.53361344,0.5385761,0.5833646,0.40124047,10.0,1
